Vendedor_ID,Nombre_Vendedor,Email,Telefono,Store,Rol,Direccion,Fecha_Nacimiento,DNI,Historial_Salud,Password_Hash
1,Nicholas Acevedo,hickmanrebecca@example.org,001-830-689-8255x176,Lima Norte,Supervisor,"USCGC Norton
FPO AA 40272",1962-06-09,gAAAAABnSOskglujmih6FfVDCy5SVB2qjNYKvluBgNwD8LrzV3woDWydaKG2_mmJyafB1unJTREUcpD90BOAXXolxuZGFom2nA==,Hipertensión,$2b$12$TWsdQC1/9mTu3WiNuXqWf.fu4Ax/DUdkVLUm3mGQqX9IiQ9qLEuGa
2,Alex Henry,qlewis@example.net,261-256-1320x01687,Lima Norte,Vendedor,"035 Turner Fords
Parkerbury, PW 74449",1991-12-02,gAAAAABnSOskFe6cEYkRexc-6_dPF_9oZlADInBJw14uEkyUVoFfmA6389v0xaAvrZ5jdiw3WndxrjNtDTbO_6O5APlBJKU5lw==,Enfermedad crónica,$2b$12$wE75hYvqFhSU.omX/H17WOCl4nske9hDEHOx8shjmaD97E3c8xja2
3,Greg Fox MD,tpennington@example.com,(264)848-8802x7570,Lima Norte,Vendedor,"PSC 9390, Box 4511
APO AE 58109",1976-10-21,gAAAAABnSOskrNs29BE90ydnMPlxlnPTQ_ho1PERxPl65qrMQ12LFRLERdRvHOoMZNoD2mqfl3WCoqXAyvaNsEf12Bt946lCOw==,Hipertensión,$2b$12$tGJySNqzCRfyuVfyYjtTLOMRzxXF5t5qIFpCaufeVVdjrQBrz1cn2
4,Dennis Moyer,jonathan65@example.com,851.620.9790x509,Barranco,Supervisor,"617 Mejia Course Apt. 837
New Tracyville, KY 81144",2002-06-08,gAAAAABnSOsk0OhcGueykOPlodakbjq_j_67fikv5255AzJr1bxfjKTRPnhvOnoATS9OB7_7453ClZZ04mCTCquR96QYe8mXWw==,Hipertensión,$2b$12$Hg04vdFy/9zX/uejcQ.CAuMiJSd/i037OT7hmAS6SgFGquO.xv27O
5,Michael Cruz,derek57@example.com,972-647-5448x539,Barranco,Vendedor,"9450 Martinez Creek
North Joseph, NE 35662",1961-11-16,gAAAAABnSOsk9dlnSmOExXAHnfJDMTSmyk1hTlKgPYPcs3jP0H-nc4qO8xzRgJaAq69bxcoafDvU7CsMmNPy5bAV32zCia7f9w==,Saludable,$2b$12$kf8xE348FFcC7dXEQTV71eqlFlocfIch6FqN3UMKOEY5zk5C5KcAy
6,Michael Campbell,michael78@example.net,531-985-3789,Barranco,Vendedor,"748 Gardner Mission Suite 626
Shannonborough, NC 29569",1976-01-01,gAAAAABnSOskGHNOegxOdFEy-Ssbe9YStjS4csrl3064pLE4dv7u53pa2zH0-OG0IJa70q2alksJmAkNOxpRNCdoKoBog067Nw==,Hipertensión,$2b$12$RmuCfeLeLIaNBN3IOXkgHuZn/UNDJTc94NcppmOtkmzbj0Im2/1hO
7,Caleb Peterson,skelly@example.net,815-887-4271x5471,Miraflores,Supervisor,"16557 Johnson Branch Apt. 299
North Holly, CT 32957",1994-04-13,gAAAAABnSOskep_RfQgS7VLqi_irx8zK0E6xFsua3po_MzrND_Y43qkxhXNldIm85cN9f09X6ldZ1G6dD9Ey9GW52FmZyVC0aw==,Hipertensión,$2b$12$WoxV/YWn.3apAL3oxi3CMei429hrMM484eFgCWndriOd09OaHSqT6
8,Travis Obrien,kevinjohnson@example.net,(983)441-0953x384,Miraflores,Vendedor,"2223 Huffman Light Apt. 415
North Sheila, TN 39604",1959-04-20,gAAAAABnSOsk0IH65s558bMiCK2c1ejesfzpVDci_0uFkiMfc6rSHH2YWANmZxdpe0tUk95WIza_3dKY-elhns3JlKq6LktgLg==,Saludable,$2b$12$7ktmUU7fjjcEqcZsB/bmee1vN/xWUhr/gA46SxA4R3nxVBYiFjGBa
9,Caitlyn Bailey,efrancis@example.com,+1-836-201-9216x6526,Miraflores,Vendedor,"2998 Deborah River
Port Holly, GU 37521",2002-07-29,gAAAAABnSOsk9dKUcgKtAwa2YF4tgN2XEHYk6-nMsbNARwdtnZm9KYpAyDvkurJAO4EG__I6lU3j0YNkuydU9ZGKuLGEJme41A==,Hipertensión,$2b$12$fizYBiRWa96Yu1WRk.bKj.XfqZ33vVUaTs.PbQazYCm1P68dPmhuS
10,Ryan Lee,amy72@example.net,292-455-3543x37885,San Isidro,Supervisor,"8746 Kenneth Oval Suite 702
Lake Brianville, MT 35073",2001-07-03,gAAAAABnSOsk_7xjcEWh4_LasN5qelhpLjR5UnYWwQWg7P8r6B-uJmQGwH7pitvN0vEsuwh_BxUeapji1SZcbNFHOVKH23w-Zw==,Problemas de visión,$2b$12$vWwRxCbHrLnVYTj3xdZlDO9w2DhvB04x3yT7zM9CH5FA5wb.JUBiK
11,Leslie Rodriguez,nguyenrichard@example.net,(804)737-0120x900,San Isidro,Vendedor,"866 Richard Mission
Lake Benjamin, AL 33397",1983-03-15,gAAAAABnSOskI9pD-OIFWRH4MujTlZtbYF9ebEcfbOiZNzhOmLyB8vZDSWpd8-J_0ku9hVJPuSncGCkLS2EV4tuIWRLlzM0BQQ==,Enfermedad crónica,$2b$12$horFwBKdLXdE0VdFKkibIOVkR8UMn0b3FU3s45zn6GC9r1gyDm7bS
12,Kathy Hayden,vaughanpamela@example.net,(390)423-7167,San Isidro,Vendedor,"16862 Samuel Center
Robertsonhaven, UT 38166",1968-10-06,gAAAAABnSOskOH-4TAcCHikks8pPkyFN7pg4pTg2XERuMUX9KIn47xBGrPDcJJ9s6f8mqagLM3CdnahtRS3lWk9Mc3HjYy6Mpg==,Saludable,$2b$12$r1sO0cWKD/9d.YbhLZUWSODx8kPYdYn3GXOPXh3MUIv033EJJFSiG
