Vendedor_ID,Nombre_Vendedor,Store,Rol,Fecha_Nacimiento,DNI,Historial_Salud,Password_Hash,Vendedor_ID_Anon,Email_Anon,Telefono_Anon,Direccion_Anon
1,Nicholas Acevedo,Lima Norte,Supervisor,1962-06-09,gAAAAABnSOskglujmih6FfVDCy5SVB2qjNYKvluBgNwD8LrzV3woDWydaKG2_mmJyafB1unJTREUcpD90BOAXXolxuZGFom2nA==,Hipertensión,$2b$12$TWsdQC1/9mTu3WiNuXqWf.fu4Ax/DUdkVLUm3mGQqX9IiQ9qLEuGa,6b86b273ff,h****@example.org,****-****,"USCGC Norton
FPO AA"
2,Alex Henry,Lima Norte,Vendedor,1991-12-02,gAAAAABnSOskFe6cEYkRexc-6_dPF_9oZlADInBJw14uEkyUVoFfmA6389v0xaAvrZ5jdiw3WndxrjNtDTbO_6O5APlBJKU5lw==,Enfermedad crónica,$2b$12$wE75hYvqFhSU.omX/H17WOCl4nske9hDEHOx8shjmaD97E3c8xja2,d4735e3a26,q****@example.net,****-****,"Turner Fords
Parkerbury"
3,Greg Fox MD,Lima Norte,Vendedor,1976-10-21,gAAAAABnSOskrNs29BE90ydnMPlxlnPTQ_ho1PERxPl65qrMQ12LFRLERdRvHOoMZNoD2mqfl3WCoqXAyvaNsEf12Bt946lCOw==,Hipertensión,$2b$12$tGJySNqzCRfyuVfyYjtTLOMRzxXF5t5qIFpCaufeVVdjrQBrz1cn2,4e07408562,t****@example.com,****-****,PSC
4,Dennis Moyer,Barranco,Supervisor,2002-06-08,gAAAAABnSOsk0OhcGueykOPlodakbjq_j_67fikv5255AzJr1bxfjKTRPnhvOnoATS9OB7_7453ClZZ04mCTCquR96QYe8mXWw==,Hipertensión,$2b$12$Hg04vdFy/9zX/uejcQ.CAuMiJSd/i037OT7hmAS6SgFGquO.xv27O,4b227777d4,j****@example.com,****-****,"Mejia Course Apt. 
New Tracyville"
5,Michael Cruz,Barranco,Vendedor,1961-11-16,gAAAAABnSOsk9dlnSmOExXAHnfJDMTSmyk1hTlKgPYPcs3jP0H-nc4qO8xzRgJaAq69bxcoafDvU7CsMmNPy5bAV32zCia7f9w==,Saludable,$2b$12$kf8xE348FFcC7dXEQTV71eqlFlocfIch6FqN3UMKOEY5zk5C5KcAy,ef2d127de3,d****@example.com,****-****,"Martinez Creek
North Joseph"
6,Michael Campbell,Barranco,Vendedor,1976-01-01,gAAAAABnSOskGHNOegxOdFEy-Ssbe9YStjS4csrl3064pLE4dv7u53pa2zH0-OG0IJa70q2alksJmAkNOxpRNCdoKoBog067Nw==,Hipertensión,$2b$12$RmuCfeLeLIaNBN3IOXkgHuZn/UNDJTc94NcppmOtkmzbj0Im2/1hO,e7f6c01177,m****@example.net,****-****,"Gardner Mission Suite 
Shannonborough"
7,Caleb Peterson,Miraflores,Supervisor,1994-04-13,gAAAAABnSOskep_RfQgS7VLqi_irx8zK0E6xFsua3po_MzrND_Y43qkxhXNldIm85cN9f09X6ldZ1G6dD9Ey9GW52FmZyVC0aw==,Hipertensión,$2b$12$WoxV/YWn.3apAL3oxi3CMei429hrMM484eFgCWndriOd09OaHSqT6,7902699be4,s****@example.net,****-****,"Johnson Branch Apt. 
North Holly"
8,Travis Obrien,Miraflores,Vendedor,1959-04-20,gAAAAABnSOsk0IH65s558bMiCK2c1ejesfzpVDci_0uFkiMfc6rSHH2YWANmZxdpe0tUk95WIza_3dKY-elhns3JlKq6LktgLg==,Saludable,$2b$12$7ktmUU7fjjcEqcZsB/bmee1vN/xWUhr/gA46SxA4R3nxVBYiFjGBa,2c624232cd,k****@example.net,****-****,"Huffman Light Apt. 
North Sheila"
9,Caitlyn Bailey,Miraflores,Vendedor,2002-07-29,gAAAAABnSOsk9dKUcgKtAwa2YF4tgN2XEHYk6-nMsbNARwdtnZm9KYpAyDvkurJAO4EG__I6lU3j0YNkuydU9ZGKuLGEJme41A==,Hipertensión,$2b$12$fizYBiRWa96Yu1WRk.bKj.XfqZ33vVUaTs.PbQazYCm1P68dPmhuS,19581e27de,e****@example.com,****-****,"Deborah River
Port Holly"
10,Ryan Lee,San Isidro,Supervisor,2001-07-03,gAAAAABnSOsk_7xjcEWh4_LasN5qelhpLjR5UnYWwQWg7P8r6B-uJmQGwH7pitvN0vEsuwh_BxUeapji1SZcbNFHOVKH23w-Zw==,Problemas de visión,$2b$12$vWwRxCbHrLnVYTj3xdZlDO9w2DhvB04x3yT7zM9CH5FA5wb.JUBiK,4a44dc1536,a****@example.net,****-****,"Kenneth Oval Suite 
Lake Brianville"
